Action: planned order proc (ZZMDACC),Order,Material Number,Order Qty (Alt UoM) (ZZGAMNG) (ZZALTUOM),Reducd Qty Alt Uom (ZZABMNG) (ZZALTUOM),Open Qty. (ZZOPENQTY) (ZZALTUOM),Alt. Unit of Meas (ZZALTUOM) (=ZZALTUOM),Net Qty. (ZZNETQTY) (ZZALTUOM),Categorie (Icon),Order Type,MRP controller,Prodn Supervisor,Plant,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Material description,Date of action: planned order (ZZMDACD),Action handler: planned order processing,Manufacturer SKU (ZZMFGSKU),Plant-Specific Material Status (ZZMMSTA),Priority (ZZPRIORITY),Product Line (ZZPROD_LINE),Size (ZZSIZE),Week on Hand (ZZWOH) (ZZALTUOM),Work Center (ZZWORK_CENTER),Characteristic Value (ZZATWRT),Brand (ZZBRAND),Min. Lot Size (ZZBSTMI) (ZZALTUOM),Color (ZZCOLOR),Customer (ZZCUSTOMER),Delv Qty Alt Uom (ZZGWEMG) (ZZALTUOM),MRP Controller Description (ZZDSNAM),Logistics Code (ZZLOGCODE)
,229718236,CE30SQU44HDCGL,"18,000.000",0.000,"18,000.000",FT2,"116,575.000",,PE,M02,S03,4610,"140,625",PC,8/10/2026,8/16/2026,"Jasmine, Square, 4X4, Hand Crafted, Glos",,Z1,M019044,,,CONTEMPEE,,-22.035,WK070404,?,DB,0.000,,,0.000,E284381,I
ZZRL,229541270,CV60SQU44HDCGL,"6,561.560",0.000,"6,561.560",FT2,"47,619.048",,PE,M02,S03,4610,"62,491.048",PC,8/10/2026,8/16/2026,"Valencia, Square, 4X4, Hand Crafted, Glo",7/29/2026,Z1,M019044,,,COTTO REVIVAL,,-46.985,WK070404,?,MZ,0.000,,,0.000,E284381,I
ZZRL,229771877,EW05SQU44HDCGL,1.256,0.000,1.256,FT2,7.813,,PE,M02,S03,4610,9.813,PC,8/10/2026,8/16/2026,"Nomad, Square, 4X4, Handcrafted, Glossy",8/4/2026,Z1,M019044,,,EARTHENWELL,,0.000,WK070404,?,DB,0.000,,,0.000,E284381,I
ZZRL,229771881,EW05SQU44HDCST,1.256,0.000,1.256,FT2,7.813,,PE,M02,S03,4610,9.813,PC,8/10/2026,8/16/2026,"Nomad, Square, 4X4, Handcrafted, Satin",8/4/2026,Z1,M019044,,,EARTHENWELL,,0.000,WK070404,?,DB,0.000,,,0.000,E284381,I
ZZRL,229771879,EW06SQU44HDCGL,1.256,0.000,1.256,FT2,7.813,,PE,M02,S03,4610,9.813,PC,8/10/2026,8/16/2026,"Wander, Square, 4X4, Handcrafted, Glossy",8/4/2026,Z1,M019044,,,EARTHENWELL,,0.000,WK070404,?,DB,0.000,,,0.000,E284381,I
ZZRL,229771883,EW06SQU44HDCST,1.256,0.000,1.256,FT2,7.813,,PE,M02,S03,4610,9.813,PC,8/10/2026,8/16/2026,"Wander, Square, 4X4, Handcrafted, Satin",8/4/2026,Z1,M019044,,,EARTHENWELL,,0.000,WK070404,?,DB,0.000,,,0.000,E284381,I
ZZRL,229771878,EW07SQU44HDCGL,1.256,0.000,1.256,FT2,7.813,,PE,M02,S03,4610,9.813,PC,8/10/2026,8/16/2026,"Kindred, Square, 4X4, Handcrafted, Gloss",8/4/2026,Z1,M019044,,,EARTHENWELL,,0.000,WK070404,?,DB,0.000,,,0.000,E284381,I
ZZRL,229771882,EW07SQU44HDCST,1.256,0.000,1.256,FT2,7.813,,PE,M02,S03,4610,9.813,PC,8/10/2026,8/16/2026,"Kindred, Square, 4X4, Handcrafted, Satin",8/4/2026,Z1,M019044,,,EARTHENWELL,,0.000,WK070404,?,DB,0.000,,,0.000,E284381,I
ZZRL,229771880,EW08SQU44HDCGL,1.256,0.000,1.256,FT2,7.813,,PE,M02,S03,4610,9.813,PC,8/10/2026,8/16/2026,"Roam, Square, 4X4, Handcrafted, Glossy",8/4/2026,Z1,M019044,,,EARTHENWELL,,0.000,WK070404,?,DB,0.000,,,0.000,E284381,I
ZZRL,229771884,EW08SQU44HDCST,1.256,0.000,1.256,FT2,7.813,,PE,M02,S03,4610,9.813,PC,8/10/2026,8/16/2026,"Roam, Square, 4X4, Handcrafted, Satin",8/4/2026,Z1,M019044,,,EARTHENWELL,,0.000,WK070404,?,DB,0.000,,,0.000,E284381,I
ZZRL,229715288,RE15312HD1P2,"39,999.750",0.000,"39,999.750",FT2,"144,000.000",,PE,M02,S03,4610,"159,999",PC,8/10/2026,8/16/2026,"Bright White, Rectangle, 3X12, Glossy",8/3/2026,Z1,,,,RESTORE,412MOD,-24.869,WK0848MD,HD - Home Depot US,HS,10.000,0190,HD,0.000,E284381,I
ZZRL,229656711,RE1536MODHD1P4,"182,616.000",0.000,"182,616.000",FT2,"1,344,000.000",,PE,M02,S03,4610,"1,460,928",PC,8/10/2026,8/16/2026,3X6 WALL TILE  RE15  BRIGHT  WHITE    ST,7/31/2026,Z1,,,,RESTORE,36MOD,-958.402,WK1136MD,HD - Home Depot US,HS,0.000,190,HD,0.000,E284381,I
,229727240,RE15412MODHD1P2,"31,999.800",0.000,"31,999.800",FT2,"75,450.000",,PE,M02,S03,4610,"84,210",PC,8/10/2026,8/16/2026,4X12 BRIGHT WHITE WALL TILE,,Z1,,,,RESTORE,412MOD,-508.488,WK0848MD,HD - Home Depot US,HS,10.000,0190,HD,0.000,E284381,I
ZZRL,229541234,RE15412MODHD1P2,"50,224.620",0.000,"50,224.620",FT2,"118,421.053",,PE,M02,S03,4610,"132,170.053",PC,8/10/2026,8/16/2026,4X12 BRIGHT WHITE WALL TILE,7/29/2026,Z1,,,,RESTORE,412MOD,-508.488,WK0848MD,HD - Home Depot US,HS,10.000,0190,HD,0.000,E284381,I
ZZRL,229367485,RE1544HD1P4,"110,357.875",0.000,"110,357.875",FT2,"784,000.000",,PE,M02,S03,4610,"882,863",PC,8/10/2026,8/16/2026,4X4 WALL TILE  RE15 BRIGHT WHITE  STD,7/24/2026,Z1,,,,RESTORE,44,-671.483,WK070404,HD - Home Depot US,HS,0.000,190,HD,0.000,E284381,I
,229731791,RR17SQU66MIXMT,"30,000.096",0.000,"30,000.096",FT2,"91,427.000",,PE,M02,S03,4610,"119,048",PC,8/10/2026,8/16/2026,"Canvas, Square, 6X6, Ripple Mix, Matte",,Z1,,,,RHYME AND REASON,,-63.951,,?,MZ,0.000,,,0.000,E284381,I
ZZRL,229367464,X11436MOD1P2,"60,872.000",0.000,"60,872.000",FT2,"448,000.000",,PE,M02,S03,4610,"486,976",PC,8/10/2026,8/16/2026,"Desert Gry, Rectangle, 3X6, MOD ,Glossy",7/24/2026,Z1,MX11436MOD,,,COLOR WHEEL CLASSIC,36MOD,-525.571,WK1136MD,?,DB,10.000,X114,,0.000,E284381,I
ZZRL,229367483,X114441P2,"63,061.625",0.000,"63,061.625",FT2,"448,000.000",,PE,M02,S03,4610,"504,493",PC,8/10/2026,8/16/2026,4X4             X114 DESERT GRAY     STD,7/24/2026,Z1,MX11444,,,COLOR WHEEL CLASSIC,44,-574.812,WK070404,?,DB,10.000,X114,,0.000,E284381,I
ZZRL,229541273,ZL01SQU44UND1P4,"13,123.015",0.000,"13,123.015",FT2,"95,238.095",,PE,M02,S03,4610,"124,981.095",PC,8/10/2026,8/16/2026,"Turchese, Square, 4X4, Undulated, Glossy",7/29/2026,Z1,,,,ZELLIGE NEO,,-90.325,,?,MZ,0.000,,,0.000,E284381,I
,229732814,ZL03SQU44UND1P4,"18,000.045",0.000,"18,000.045",FT2,"130,632.000",,PE,M02,S03,4610,"171,429",PC,8/10/2026,8/16/2026,"Bosco, Square, 4X4, Undulated, Glossy",,Z1,,,,ZELLIGE NEO,,-80.724,,HC - Home Depot Canada,MZ,0.000,,HC,0.000,E284381,I
ZZRL,229656696,ZL03SQU44UND1P4,"10,498.475",0.000,"10,498.475",FT2,"76,190.476",,PE,M02,S03,4610,"99,985.476",PC,8/10/2026,8/16/2026,"Bosco, Square, 4X4, Undulated, Glossy",7/31/2026,Z1,,,,ZELLIGE NEO,,-80.724,,HC - Home Depot Canada,MZ,0.000,,HC,0.000,E284381,I
ZZRL,229541274,ZL11SQU44UND1P4,"122,043.945",0.000,"122,043.945",FT2,"885,714.286",,PE,M02,S03,4610,"1,162,323.286",PC,8/10/2026,8/16/2026,"Gesso, Square, 4X4, Undulated, Glossy",7/29/2026,Z1,,,,ZELLIGE NEO,,-96.794,,HC - Home Depot Canada,MZ,0.000,,HC,0.000,E284381,I
